Time [ms];;;;IR RAW;RED RAW
19;10;23,184;0,012;47946;47900
19;10;23,194;0,01;47958;47911
19;10;23,207;0,013;47955;47909
19;10;23,219;0,012;47963;47920
19;10;23,23;0,011;47983;47911
19;10;23,242;0,012;47992;47903
19;10;23,254;0,012;48002;47900
19;10;23,266;0,012;48012;47918
19;10;23,277;0,011;48027;47927
19;10;23,288;0,011;48035;47940
19;10;23,301;0,013;48048;47947
19;10;23,313;0,012;48073;47940
19;10;23,324;0,011;48105;47946
19;10;23,335;0,011;48087;47964
19;10;23,347;0,012;48098;47977
19;10;23,359;0,012;48098;47975
19;10;23,372;0,013;48087;47945
19;10;23,383;0,011;48022;47915
19;10;23,395;0,012;47834;47798
19;10;23,407;0,012;47767;47780
19;10;23,419;0,012;47708;47772
19;10;23,43;0,011;47677;47739
19;10;23,442;0,012;47660;47760
19;10;23,454;0,012;47649;47752
19;10;23,466;0,012;47651;47734
19;10;23,477;0,011;47667;47735
19;10;23,489;0,012;47651;47750
19;10;23,501;0,012;47686;47757
19;10;23,513;0,012;47678;47742
19;10;23,524;0,011;47694;47750
19;10;23,536;0,012;47725;47786
19;10;23,548;0,012;47741;47796
19;10;23,56;0,012;47736;47813
19;10;23,572;0,012;47742;47829
19;10;23,582;0,01;47773;47819
19;10;23,594;0,012;47779;47823
19;10;23,606;0,012;47783;47829
19;10;23,618;0,012;47766;47814
19;10;23,63;0,012;47755;47835
19;10;23,642;0,012;47749;47807
19;10;23,654;0,012;47741;47810
19;10;23,666;0,012;47726;47802
19;10;23,677;0,011;47705;47779
19;10;23,688;0,011;47696;47777
19;10;23,701;0,013;47690;47785
19;10;23,712;0,011;47704;47786
19;10;23,724;0,012;47709;47790
19;10;23,735;0,011;47720;47793
19;10;23,747;0,012;47725;47780
19;10;23,759;0,012;47744;47811
19;10;23,771;0,012;47741;47818
19;10;23,782;0,011;47759;47810
19;10;23,794;0,012;47767;47816
19;10;23,806;0,012;47798;47803
19;10;23,818;0,012;47795;47812
19;10;23,829;0,011;47818;47823
19;10;23,841;0,012;47838;47836
19;10;23,853;0,012;47828;47827
19;10;23,865;0,012;47832;47853
19;10;23,876;0,011;47858;47861
19;10;23,888;0,012;47839;47878
19;10;23,9;0,012;47859;47862
19;10;23,912;0,012;47849;47861
19;10;23,923;0,011;47846;47847
19;10;23,935;0,012;47846;47873
19;10;23,947;0,012;47868;47861
19;10;23,959;0,012;47863;47842
19;10;23,97;0,011;47873;47862
19;10;23,982;0,012;47890;47880
19;10;23,994;0,012;47893;47885
19;10;24,05;0,056;47918;47874
19;10;24,17;0,12;47912;47900
19;10;24,29;0,12;47912;47912
19;10;24,41;0,12;47940;47892
19;10;24,53;0,12;47934;47891
19;10;24,64;0,11;47949;47890
19;10;24,76;0,12;47929;47885
19;10;24,88;0,12;47877;47851
19;10;24,99;0,11;47807;47822
19;10;24,111;-0,879;47753;47807
19;10;24,123;0,012;47704;47780
19;10;24,134;0,011;47674;47732
19;10;24,146;0,012;47588;47717
19;10;24,158;0,012;47577;47717
19;10;24,17;0,012;47559;47726
19;10;24,182;0,012;47547;47709
19;10;24,193;0,011;47560;47717
19;10;24,206;0,013;47565;47719
19;10;24,217;0,011;47562;47721
19;10;24,229;0,012;47567;47733
19;10;24,241;0,012;47579;47735
19;10;24,253;0,012;47584;47716
19;10;24,264;0,011;47589;47736
19;10;24,276;0,012;47596;47724
19;10;24,288;0,012;47613;47717
19;10;24,299;0,011;47638;47736
19;10;24,311;0,012;47643;47740
19;10;24,323;0,012;47627;47746
19;10;24,335;0,012;47644;47728
19;10;24,346;0,011;47638;47730
19;10;24,359;0,013;47628;47722
19;10;24,37;0,011;47623;47704
19;10;24,382;0,012;47621;47708
19;10;24,393;0,011;47608;47715
19;10;24,405;0,012;47595;47715
19;10;24,417;0,012;47591;47706
19;10;24,428;0,011;47608;47719
19;10;24,44;0,012;47611;47703
19;10;24,451;0,011;47597;47730
19;10;24,463;0,012;47620;47716
19;10;24,475;0,012;47640;47719
19;10;24,487;0,012;47658;47717
19;10;24,499;0,012;47663;47734
19;10;24,511;0,012;47681;47749
19;10;24,522;0,011;47674;47737
19;10;24,533;0,011;47675;47764
19;10;24,545;0,012;47698;47754
19;10;24,557;0,012;47730;47758
19;10;24,569;0,012;47749;47785
19;10;24,581;0,012;47742;47779
19;10;24,592;0,011;47751;47796
19;10;24,605;0,013;47756;47786
19;10;24,616;0,011;47762;47786
19;10;24,627;0,011;47784;47804
19;10;24,64;0,013;47777;47798
19;10;24,651;0,011;47791;47806
19;10;24,663;0,012;47798;47793
19;10;24,675;0,012;47777;47800
19;10;24,687;0,012;47789;47801
19;10;24,699;0,012;47790;47795
19;10;24,71;0,011;47823;47811
19;10;24,721;0,011;47795;47820
19;10;24,734;0,013;47800;47808
19;10;24,745;0,011;47810;47830
19;10;24,757;0,012;47839;47823
19;10;24,769;0,012;47865;47845
19;10;24,781;0,012;47875;47846
19;10;24,793;0,012;47871;47859
19;10;24,804;0,011;47879;47835
19;10;24,816;0,012;47884;47839
19;10;24,828;0,012;47897;47857
19;10;24,84;0,012;47910;47854
19;10;24,851;0,011;47878;47803
19;10;24,862;0,011;47804;47784
19;10;24,875;0,013;47739;47749
19;10;24,886;0,011;47642;47704
19;10;24,897;0,011;47546;47656
19;10;24,909;0,012;47501;47651
19;10;24,922;0,013;47485;47640
19;10;24,933;0,011;47460;47623
19;10;24,945;0,012;47465;47621
19;10;24,957;0,012;47444;47612
19;10;24,969;0,012;47454;47613
19;10;24,981;0,012;47454;47619
19;10;24,993;0,012;47452;47630
19;10;25,04;0,047;47457;47626
19;10;25,16;0,12;47463;47633
19;10;25,28;0,12;47474;47660
19;10;25,4;0,12;47475;47642
19;10;25,51;0,11;47465;47647
19;10;25,63;0,12;47479;47645
19;10;25,75;0,12;47478;47644
19;10;25,86;0,11;47485;47640
19;10;25,97;0,11;47488;47643
19;10;25,11;-0,86;47496;47661
19;10;25,122;0,012;47505;47653
19;10;25,133;0,011;47503;47654
19;10;25,145;0,012;47491;47648
19;10;25,157;0,012;47474;47652
19;10;25,169;0,012;47476;47647
19;10;25,18;0,011;47453;47637
19;10;25,192;0,012;47460;47620
19;10;25,203;0,011;47468;47608
19;10;25,215;0,012;47483;47633
19;10;25,227;0,012;47463;47608
19;10;25,239;0,012;47470;47646
19;10;25,25;0,011;47493;47644
19;10;25,262;0,012;47498;47642
19;10;25,274;0,012;47508;47657
19;10;25,286;0,012;47530;47674
